t_sim_sec,v_meas_mps,steering_angle_rad,drive_cmd_0,drive_cmd_1,steer_cmd
0.0,5.694254021875015e-19,-2.991590002248218e-19,0.0,0.0,0.0
0.009999999999999787,3.930830603975948e-19,-2.995098716362617e-19,0.0,0.0,0.0
0.02000000000000135,-1.5094645413919933e-19,-2.999047581560222e-19,0.0,0.0,0.0
0.030000000000001137,-6.263480935080133e-19,-3.003601714685179e-19,0.0,0.0,0.0
0.040000000000000924,-4.465527708952875e-19,-3.005929913712364e-19,0.0,0.0,0.0
0.05000000000000071,-3.783605156116656e-19,-3.009590119670327e-19,0.0,0.0,0.0
0.0600000000000005,-1.045277464124452e-19,-3.011034564646464e-19,0.0,0.0,0.0
0.07000000000000028,-6.189498836005582e-19,-3.0089203786421366e-19,0.0,0.0,0.0
0.08000000000000007,6.782593958869663e-21,-3.008944563670428e-19,0.0,0.0,0.0
0.08999999999999986,3.0314501057941344e-19,-3.012290548069562e-19,0.0,0.0,0.0
0.10000000000000142,-1.821039520129048e-19,-3.0122214874763066e-19,0.0,0.0,0.0
0.11000000000000121,3.3406012244261144e-19,-3.0147417160710903e-19,0.0,0.0,0.0
0.120000000000001,1.2257110661856667e-19,-3.0175040094390156e-19,0.0,0.0,0.0
0.13000000000000078,-3.8584565135032675e-20,-3.019823329173733e-19,0.0,0.0,0.0
0.14000000000000057,4.713902989937412e-19,-3.0201125839840137e-19,0.0,0.0,0.0
0.15000000000000036,1.822276751361903e-19,-3.021812204504475e-19,0.0,0.0,0.0
0.16000000000000014,4.028232265041891e-19,-3.0228765378336646e-19,0.0,0.0,0.0
0.16999999999999993,2.4271190103523694e-20,-3.0250599396173073e-19,0.0,0.0,0.0
0.17999999999999972,-6.471094895886291e-19,-3.026029784087162e-19,0.0,0.0,0.0
0.19000000000000128,2.02110238127045e-19,-3.0274509393065803e-19,0.0,0.0,0.0
0.20000000000000107,-3.720560626135379e-19,-3.031951163677177e-19,0.0,0.0,0.0
0.21000000000000085,5.430940479481291e-19,-3.034896290905981e-19,0.0,0.0,0.0
0.22000000000000064,1.3740989127286803e-19,-3.0357468851773794e-19,0.0,0.0,0.0
0.23000000000000043,2.5888729026114596e-19,-3.0395768788248625e-19,0.0,0.0,0.0
0.2400000000000002,5.591047629254701e-19,-3.0437830993091893e-19,0.0,0.0,0.0
0.25,-4.0317244447992547e-19,-3.0434063307785367e-19,0.0,0.0,0.0
0.2599999999999998,-1.0733278925073627e-19,-3.045321200285218e-19,0.0,0.0,0.0
0.27000000000000135,3.324068875584683e-19,-3.044821438286606e-19,0.0,0.0,0.0
0.28000000000000114,1.7192466596487988e-19,-3.0455538007042564e-19,0.0,0.0,0.0
0.2900000000000009,6.954185617578843e-19,-3.0444783553634697e-19,0.0,0.0,0.0
0.3000000000000007,-5.948576846789602e-20,-3.045266696757815e-19,0.0,0.0,0.0
0.3100000000000005,-1.0103043678592166e-19,-3.048553532798396e-19,0.0,0.0,0.0
0.3200000000000003,-5.934043140877267e-19,-3.0480780894919464e-19,0.0,0.0,0.0
0.33000000000000007,-1.4456244403369006e-19,-3.050977398418493e-19,0.0,0.0,0.0
0.33999999999999986,-6.508439338676499e-20,-3.053401462153925e-19,0.0,0.0,0.0
0.3500000000000014,2.7326079014758103e-19,-3.055434962211262e-19,0.0,0.0,0.0
0.3600000000000012,-2.8853101343825426e-19,-3.0570650788350706e-19,0.0,0.0,0.0
0.370000000000001,2.9293244985252717e-19,-3.05742543688777e-19,0.0,0.0,0.0
0.3800000000000008,1.9531964955367362e-19,-3.060056966669157e-19,0.0,0.0,0.0
0.39000000000000057,-7.495076898161964e-19,-3.065539176759918e-19,0.0,0.0,0.0
0.40000000000000036,2.2067997042574776e-19,-3.067057038332347e-19,0.0,0.0,0.0
