t_sim_sec,v_meas_mps,steering_angle_rad,drive_cmd_0,drive_cmd_1,steer_cmd
0.0,1.0708490377093038e-19,-2.495960043668645e-19,0.0,0.0,0.0
0.009999999999999787,-6.411722205242275e-19,-2.4938767769962385e-19,0.0,0.0,0.0
0.019999999999999574,-2.4239977359786545e-19,-2.493807507452732e-19,0.0,0.0,0.0
0.02999999999999936,2.6587983933977126e-19,-2.4881902073251524e-19,0.0,0.0,0.0
0.03999999999999915,-1.6379131900292068e-19,-2.484922041481678e-19,0.0,0.0,0.0
0.05000000000000071,-4.741980445466817e-19,-2.484462377585646e-19,0.0,0.0,0.0
0.0600000000000005,4.5592106082935336e-20,-2.4808349986792446e-19,0.0,0.0,0.0
0.07000000000000028,1.1417114163760037e-19,-2.482234890677778e-19,0.0,0.0,0.0
0.08000000000000007,-5.956025916193387e-21,-2.481476786655882e-19,0.0,0.0,0.0
0.08999999999999986,7.184967830390177e-20,-2.4794191104912044e-19,0.0,0.0,0.0
0.09999999999999964,1.095822099366399e-18,-2.4791655724022215e-19,0.0,0.0,0.0
0.10999999999999943,8.105730056732702e-20,-2.4803784389420416e-19,0.0,0.0,0.0
0.11999999999999922,-7.455310946134408e-20,-2.4763830676412713e-19,0.0,0.0,0.0
0.129999999999999,-5.295916037414871e-19,-2.473613235729343e-19,0.0,0.0,0.0
0.14000000000000057,2.3870219996434543e-19,-2.4670663140592225e-19,0.0,0.0,0.0
0.15000000000000036,-1.5641417245287363e-19,-2.462573117874668e-19,0.0,0.0,0.0
0.16000000000000014,-1.8949886305651563e-19,-2.461011676859945e-19,0.0,0.0,0.0
0.16999999999999993,2.443449493456606e-19,-2.462352746037103e-19,0.0,0.0,0.0
0.17999999999999972,4.278245272586666e-19,-2.4640938450742625e-19,0.0,0.0,0.0
0.1899999999999995,2.1149713475675968e-19,-2.4590655344337924e-19,0.0,0.0,0.0
0.1999999999999993,5.682003157104295e-19,-2.453221522028543e-19,0.0,0.0,0.0
0.20999999999999908,-7.20480207868614e-20,-2.45079486734661e-19,0.0,0.0,0.0
0.22000000000000064,-3.1943684390225735e-20,-2.445815115274786e-19,0.0,0.0,0.0
0.23000000000000043,-4.861180568842974e-19,-2.4442518431154927e-19,0.0,0.0,0.0
0.2400000000000002,-2.2756626796571615e-19,-2.4412680436144104e-19,0.0,0.0,0.0
0.25,-1.0099976214694892e-19,-2.4415293661622125e-19,0.0,0.0,0.0
0.2599999999999998,-1.0886465176165921e-19,-2.438753908528303e-19,0.0,0.0,0.0
0.2699999999999996,7.742091326410653e-19,-2.436321346411555e-19,0.0,0.0,0.0
0.27999999999999936,-2.665074545453801e-19,-2.429790800141372e-19,0.0,0.0,0.0
0.28999999999999915,-7.414445162824908e-20,-2.431066626425129e-19,0.0,0.0,0.0
0.3000000000000007,-6.624213559399556e-19,-2.429988402187806e-19,0.0,0.0,0.0
0.3100000000000005,-1.1204150051596792e-19,-2.4251376671114717e-19,0.0,0.0,0.0
0.3200000000000003,5.397609533670181e-19,-2.4244225877806425e-19,0.0,0.0,0.0
0.33000000000000007,2.1936909146070484e-19,-2.421559357542201e-19,0.0,0.0,0.0
0.33999999999999986,-8.827891708836184e-19,-2.422385989707543e-19,0.0,0.0,0.0
0.34999999999999964,-4.678516282134843e-19,-2.421031200913467e-19,0.0,0.0,0.0
0.35999999999999943,9.01559107765288e-19,-2.4203853323868835e-19,0.0,0.0,0.0
0.3699999999999992,6.467188975218141e-19,-2.414734578468598e-19,0.0,0.0,0.0
0.379999999999999,-2.615373270207491e-19,-2.4087387634680825e-19,0.0,0.0,0.0
0.39000000000000057,6.290715188065037e-20,-2.4038439754792835e-19,0.0,0.0,0.0
0.40000000000000036,1.1814870069302077e-19,-2.399931599870749e-19,0.0,0.0,0.0
0.41000000000000014,-2.9281052685586763e-19,-2.3946127704266755e-19,0.0,0.0,0.0
0.41999999999999993,3.0310658530001054e-19,-2.3915420699619044e-19,0.0,0.0,0.0
0.4299999999999997,-5.5758308226407635e-19,-2.3855530031302455e-19,0.0,0.0,0.0
0.4399999999999995,-6.710829622216012e-19,-2.3844471954218154e-19,0.0,0.0,0.0
0.4499999999999993,-6.183570669986029e-21,-2.3809523232366216e-19,0.0,0.0,0.0
0.46000000000000085,5.396654046694151e-19,-2.3791382752815914e-19,0.0,0.0,0.0
0.47000000000000064,-3.1848061023205657e-20,-2.3793108781584395e-19,0.0,0.0,0.0
0.4800000000000004,2.950636835958168e-19,-2.3763216453688067e-19,0.0,0.0,0.0
0.4900000000000002,8.6069172420018e-19,-2.3754628396883427e-19,0.0,0.0,0.0
0.5,1.0453119954953069e-19,-2.374175006448023e-19,0.0,0.0,0.0
0.5099999999999998,3.8581904358782626e-19,-2.369907225117262e-19,0.0,0.0,0.0
0.5199999999999996,-3.1199134348950497e-19,-2.366030653628534e-19,0.0,0.0,0.0
0.5299999999999994,3.419539020792249e-20,-2.3633079460709226e-19,0.0,0.0,0.0
0.5399999999999991,-7.521427453182504e-19,-2.3611420905196063e-19,0.0,0.0,0.0
0.5500000000000007,2.4846899897509277e-19,-2.356249093006658e-19,0.0,0.0,0.0
0.5600000000000005,-1.7922081272841503e-19,-2.353943405544865e-19,0.0,0.0,0.0
0.5700000000000003,-2.236092546234071e-19,-2.348704993280679e-19,0.0,0.0,0.0
0.5800000000000001,-4.1729480895886283e-19,-2.3445154932841936e-19,0.0,0.0,0.0
0.5899999999999999,3.834159166537028e-19,-2.338079319886327e-19,0.0,0.0,0.0
0.5999999999999996,-8.990854718042408e-19,-2.3324679918073955e-19,0.0,0.0,0.0
0.6099999999999994,-1.7095714801673635e-18,-2.3309933286861197e-19,0.0,0.0,0.0
0.6199999999999992,2.762720619190188e-19,-2.330081021205938e-19,0.0,0.0,0.0
0.629999999999999,1.6360302526076564e-20,-2.329658069487412e-19,0.0,0.0,0.0
0.6400000000000006,4.0405784874051007e-19,-2.328318642532989e-19,0.0,0.0,0.0
0.6500000000000004,-9.61294606104038e-19,-2.325135608670069e-19,0.0,0.0,0.0
0.6600000000000001,8.953265359926064e-20,-2.326081466637085e-19,0.0,0.0,0.0
0.6699999999999999,-2.9731343436121417e-19,-2.321820096488916e-19,0.0,0.0,0.0
0.6799999999999997,-9.026485721326391e-20,-2.3165111861088376e-19,0.0,0.0,0.0
